DateKey,FullDate,Year,Month,DayOfMonth,DayName,MonthName,Quarter
20240309,2024-03-09,2024,3,9,Saturday,March,1
20240310,2024-03-10,2024,3,10,Sunday,March,1
20240311,2024-03-11,2024,3,11,Monday,March,1
20240312,2024-03-12,2024,3,12,Tuesday,March,1
20240313,2024-03-13,2024,3,13,Wednesday,March,1
20240314,2024-03-14,2024,3,14,Thursday,March,1
20240315,2024-03-15,2024,3,15,Friday,March,1
20240316,2024-03-16,2024,3,16,Saturday,March,1
20240317,2024-03-17,2024,3,17,Sunday,March,1
20240318,2024-03-18,2024,3,18,Monday,March,1
20240319,2024-03-19,2024,3,19,Tuesday,March,1
20240320,2024-03-20,2024,3,20,Wednesday,March,1
20240321,2024-03-21,2024,3,21,Thursday,March,1
20240322,2024-03-22,2024,3,22,Friday,March,1
20240323,2024-03-23,2024,3,23,Saturday,March,1
20240324,2024-03-24,2024,3,24,Sunday,March,1
20240325,2024-03-25,2024,3,25,Monday,March,1
20240326,2024-03-26,2024,3,26,Tuesday,March,1
20240327,2024-03-27,2024,3,27,Wednesday,March,1
20240328,2024-03-28,2024,3,28,Thursday,March,1
20240329,2024-03-29,2024,3,29,Friday,March,1
20240330,2024-03-30,2024,3,30,Saturday,March,1
20240331,2024-03-31,2024,3,31,Sunday,March,1
20240401,2024-04-01,2024,4,1,Monday,April,2
20240402,2024-04-02,2024,4,2,Tuesday,April,2
20240403,2024-04-03,2024,4,3,Wednesday,April,2
20240404,2024-04-04,2024,4,4,Thursday,April,2
20240405,2024-04-05,2024,4,5,Friday,April,2
20240406,2024-04-06,2024,4,6,Saturday,April,2
20240407,2024-04-07,2024,4,7,Sunday,April,2
20240408,2024-04-08,2024,4,8,Monday,April,2
20240409,2024-04-09,2024,4,9,Tuesday,April,2
20240410,2024-04-10,2024,4,10,Wednesday,April,2
20240411,2024-04-11,2024,4,11,Thursday,April,2
20240412,2024-04-12,2024,4,12,Friday,April,2
20240413,2024-04-13,2024,4,13,Saturday,April,2
20240414,2024-04-14,2024,4,14,Sunday,April,2
20240415,2024-04-15,2024,4,15,Monday,April,2
20240416,2024-04-16,2024,4,16,Tuesday,April,2
20240417,2024-04-17,2024,4,17,Wednesday,April,2
20240418,2024-04-18,2024,4,18,Thursday,April,2
20240419,2024-04-19,2024,4,19,Friday,April,2
20240420,2024-04-20,2024,4,20,Saturday,April,2
20240421,2024-04-21,2024,4,21,Sunday,April,2
20240422,2024-04-22,2024,4,22,Monday,April,2
20240423,2024-04-23,2024,4,23,Tuesday,April,2
20240424,2024-04-24,2024,4,24,Wednesday,April,2
20240425,2024-04-25,2024,4,25,Thursday,April,2
20240426,2024-04-26,2024,4,26,Friday,April,2
20240427,2024-04-27,2024,4,27,Saturday,April,2
20240428,2024-04-28,2024,4,28,Sunday,April,2
20240429,2024-04-29,2024,4,29,Monday,April,2
20240430,2024-04-30,2024,4,30,Tuesday,April,2
20240501,2024-05-01,2024,5,1,Wednesday,May,2
